title,price,brand,colortitle,sizes
Air Max 270,"Rs. 14,700.00",NIKE,White/Vintage Green/Bicoastal,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
Nike Air VaporMax 2023 Flyknit,"Rs. 19,200.00",NIKE,White/Sky Grey- Platinum Tint,"6,6.5,7,7.5,8,8.5,9,9.5,10"
Nike P-6000,"Rs. 10,100.00",NIKE,Coconut Milk/Black Summit-White,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
Nike V2K Run,"Rs. 11,000.00",NIKE,Summit White/ Chrome / White / LT Orewood Brn,"5.5,6,6.5,7,7.5,8,8.5,9,9.5,10"
Nike Cortez Vintage Suede,"Rs. 9,200.00",NIKE,Summit White/Black / Muslin Gum /Med Brown,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
Nike Waffle Debut,"Rs. 6,900.00",NIKE,Sanddrift/ Black-Phantom- White,"5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
Nike Free Metcon 6 Premium,"Rs. 11,900.00",NIKE,Summit White/ Metallic Silver-Sail-Black,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
Nike Free Metcon 6,"Rs. 11,000.00",NIKE,Football Grey-Hot Fuchsia-Armory-Navy,"5.5,6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
Cloudnova Form 2,"Rs. 12,800.00",ON,White | Ivory,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
Cloudnova Flux,"Rs. 14,700.00",ON,Fade | Moon,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
Cloudpulse MotivNY,"Rs. 13,700.00",ON,Ice | Fog,"6,6.5,7,7.5,8,8.5,9,9.5,10"
Cloud 5 Terry,"Rs. 14,700.00",ON,GLACIER | WHITE,"6,6.5,7,7.5,8,8.5,9,9.5,10,10.5"
Out N About™ IV Puffy WP,"Rs. 12,800.00",SOREL,Black/Chalk,"6,6.5,7,7.5,8,8.5,9,9.5,10"
Ona Remix Glacy Plus WP,"Rs. 13,700.00",SOREL,Canoe/Sea Salt,"6,6.5,7,7.5,8,8.5,9,9.5,10"
Tivoli™ V Resort WP,"Rs. 18,300.00",SOREL,Honey White/Chalk,"6,6.5,7,7.5,8,8.5,9,9.5,10"
Clara Rettangolo,"Rs. 54,400.00",MONTELLIANA,Cotton,"6.5,7,7.5,8,8.5,9"
Arizona Soft Footbed,"Rs. 13,300.00",BIRKENSTOCK,Antique White Suede,"36,37,38,39,40"
Boston,"Rs. 15,600.00",BIRKENSTOCK,,"36,37,38,39,40"
