title,price,brand,colortitle,sizes,imageurl
One Shoulder Convertible Bra Top in Melt,"Rs. 9,000.00",CARBON38,Black,"XS,S,M,L,XL",//carbon38.com/cdn/shop/products/CARB-YD273-One-Shoulder-Convertible-Bra-Top-in-melt-color-Color-Black_0892.jpg?v=1700078173&width=400
High Rise Legging in Melt,"Rs. 9,900.00",CARBON38,Black,"XS,S,M,L,XL",//carbon38.com/cdn/shop/products/CARB-YD165-Legging-w-Branded-Taping-color-Black_94261.jpg?v=1681161480&width=400
V-Neck Longline Bra in Melt,"Rs. 8,100.00",CARBON38,Black,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD278-BLK-22SM-V-Neck-Longline-Bra-in-Melt-color-Black.jpg?v=1700614880&width=400
Strappy Tank in Melt,"Rs. 9,900.00",CARBON38,Black,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD338-BLK-23FAL-Strappy-Tank-in-Melt-color-Black_1090.jpg?v=1689019403&width=400
One Shoulder Convertible Tank in Melt,"Rs. 9,900.00",CARBON38,Leopard Print,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD6014-PRNTLEO-23SM-One-Shoulder-convertible-Tank-color-Leopard-Print_30429-Edit.jpg?v=1719435017&width=400
High Rise Legging in Melt,"Rs. 10,800.00",CARBON38,Black,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD165-PRNTLEO-23SM-High-Rise-Full-Length-Legging-in-Melt-color-Leopard-Print_30509-Edit.jpg?v=1719435136&width=400
Wide Scoop Bra Tank in Melt,"Rs. 9,000.00",CARBON38,White,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD640-BRWN-22FAL-Wide-Scoop-Bra-Tank-color-Dark-Oak_20690.jpg?v=1700689996&width=400
High Rise Legging in Melt,"Rs. 9,900.00",CARBON38,Black,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD165-BRWN-22FAL-HIGHRISE-FULL-LENGTH-LEGGING-IN-MELT-color-Dark-Oak_20704.jpg?v=1700689789&width=400
Off Shoulder Sweatshirt in French Terry,"Rs. 13,600.00",CARBON38,White,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD615-OLVE-22FAL-Off-Shoulder-Sweatshirt-in-french-terry-color-Olive_2193-Edit.jpg?v=1729644563&width=400
Mesh Pleated Skirt,"Rs. 11,700.00",CARBON38,Black,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD747-IVRY-23SM-MESH-PLEATED-SKIRT-color-ivory_3.jpg?v=1729182987&width=400
One Shoulder Convertible Bra Top in Melt,"Rs. 9,000.00",CARBON38,Black,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD273-OLVE-One-Shoulder-Convertible-Bra-Top-color-Core-Olive_42294.jpg?v=1694709796&width=400
Jogger in Melt,"Rs. 10,800.00",CARBON38,BLACK,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD822-OLVE-22SS-Jogger-in-Melt-color-CORE-OLIVE_31334-Edit.jpg?v=1729645531&width=400
High Rise 7/8 Legging in Takara Shine,"Rs. 11,700.00",CARBON38,Black,"XXS,XS,S,M,L,XL,XXL",//carbon38.com/cdn/shop/files/CARB-CRB19051-BLKBLK-high-rise-7-8-legging-in-takara-shine-Color-BLACK_0671.jpg?v=1697578387&width=400
Action Bra 2.0 in Takara Shine,"Rs. 8,100.00",CARBON38,Black,"XXS,XS,S,M,L,XL,XXL",//carbon38.com/cdn/shop/files/CARB-CRB20172-BLKBLK-action-bra-2-0-in-takara-shine-Color-BLACK_0654.jpg?v=1700076821&width=400
High Rise Full-Length Legging in Takara Shine,"Rs. 11,700.00",CARBON38,Black,"XXS,XS,S,M,L,XL,XXL",//carbon38.com/cdn/shop/files/CARB-CRB464-BLK-high-rise-full-length-legging-in-takara-shine-Color-BLACK_057811.jpg?v=1718235960&width=400
Mesh Pleated Skirt,"Rs. 11,700.00",CARBON38,Black,"XS,S,M,L,XL",//carbon38.com/cdn/shop/files/CARB-YD747-BLK-22HOL-MESH-PLEATED-SKIRT-color-BLACK_3.jpg?v=1715126260&width=400
