title,price,brand,colortitle,sizes
One Shoulder Convertible Bra Top in Melt,"Rs. 9,000.00",CARBON38,Black,"XS,S,M,L,XL"
High Rise Legging in Melt,"Rs. 9,900.00",CARBON38,Black,"XS,S,M,L,XL"
V-Neck Longline Bra in Melt,"Rs. 8,100.00",CARBON38,Black,"XS,S,M,L,XL"
Strappy Tank in Melt,"Rs. 9,900.00",CARBON38,Black,"XS,S,M,L,XL"
One Shoulder Convertible Tank in Melt,"Rs. 9,900.00",CARBON38,Leopard Print,"XS,S,M,L,XL"
High Rise Legging in Melt,"Rs. 10,800.00",CARBON38,Black,"XS,S,M,L,XL"
Wide Scoop Bra Tank in Melt,"Rs. 9,000.00",CARBON38,White,"XS,S,M,L,XL"
High Rise Legging in Melt,"Rs. 9,900.00",CARBON38,Black,"XS,S,M,L,XL"
Off Shoulder Sweatshirt in French Terry,"Rs. 13,600.00",CARBON38,White,"XS,S,M,L,XL"
Mesh Pleated Skirt,"Rs. 11,700.00",CARBON38,Black,"XS,S,M,L,XL"
One Shoulder Convertible Bra Top in Melt,"Rs. 9,000.00",CARBON38,Black,"XS,S,M,L,XL"
Jogger in Melt,"Rs. 10,800.00",CARBON38,BLACK,"XS,S,M,L,XL"
High Rise 7/8 Legging in Takara Shine,"Rs. 11,700.00",CARBON38,Black,"XXS,XS,S,M,L,XL,XXL"
Action Bra 2.0 in Takara Shine,"Rs. 8,100.00",CARBON38,Black,"XXS,XS,S,M,L,XL,XXL"
High Rise Full-Length Legging in Takara Shine,"Rs. 11,700.00",CARBON38,Black,"XXS,XS,S,M,L,XL,XXL"
Mesh Pleated Skirt,"Rs. 11,700.00",CARBON38,Black,"XS,S,M,L,XL"
T Back Bra in Diamond Compression,"Rs. 8,100.00",CARBON38,Black,"XS,S,M,L,XL"
High Rise Full-Length Legging in Diamond Compression,"Rs. 9,900.00",CARBON38,Black,"XS,S,M,L,XL"
Short Sleeve Pocket Tee,"Rs. 7,200.00",CARBON38,White,"XS,S,M,L,XL"
V-Neck Jumpsuit in Melt,"Rs. 11,500.00",CARBON38,Olive,"XS,S,M,L,XL"
Seamed Tank in Melt,"Rs. 10,700.00",CARBON38,Black,"XS,S,M,L,XL"
High Rise 7/8 Legging in Croc Takara Shine,"Rs. 11,700.00",CARBON38,Black,"XXS,XS,S,M,L,XL,XXL"
Short Sleeve Off Shoulder Sweatshirt in French Terry,"Rs. 12,600.00",CARBON38,White,"XS,S,M,L,XL"
Biker Short in Melt,"Rs. 7,200.00",CARBON38,Black,"XS,S,M,L,XL"
